RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,Zones,Pyear,Pday,Hyear,Hday
28092,1,AAAA0001,AAAA7937,WI_FLBD007,1990288,1991119,2262,642,Monze,1990,288,1991,119
28093,1,AAAA0001,AAAA7937,WI_FLBD007,1991288,1992119,963,478,Monze,1991,288,1992,119
28094,1,AAAA0001,AAAA7937,WI_FLBD007,1992288,1993119,939,838,Monze,1992,288,1993,119
28095,1,AAAA0001,AAAA7937,WI_FLBD007,1993288,1994119,0,607,Monze,1993,288,1994,119
28096,1,AAAA0001,AAAA7937,WI_FLBD007,1994288,1995119,0,428,Monze,1994,288,1995,119
28097,1,AAAA0001,AAAA7937,WI_FLBD007,1995288,1996119,0,722,Monze,1995,288,1996,119
28098,1,AAAA0001,AAAA7937,WI_FLBD007,1996288,1997119,1247,1043,Monze,1996,288,1997,119
28099,1,AAAA0001,AAAA7937,WI_FLBD007,1997288,1998119,1213,598,Monze,1997,288,1998,119
28100,1,AAAA0001,AAAA7937,WI_FLBD007,1998288,1999119,1123,845,Monze,1998,288,1999,119
28101,1,AAAA0001,AAAA7937,WI_FLBD007,1999288,2000119,0,855,Monze,1999,288,2000,119
28102,1,AAAA0001,AAAA7937,WI_FLBD007,2000288,2001119,0,855,Monze,2000,288,2001,119
28103,1,AAAA0001,AAAA7937,WI_FLBD007,2001288,2002119,0,457,Monze,2001,288,2002,119
28104,1,AAAA0001,AAAA7937,WI_FLBD007,2002288,2003119,0,653,Monze,2002,288,2003,119
28105,1,AAAA0001,AAAA7937,WI_FLBD007,2003288,2004119,598,856,Monze,2003,288,2004,119
28106,1,AAAA0001,AAAA7937,WI_FLBD007,2004288,2005119,0,637,Monze,2004,288,2005,119
28107,1,AAAA0001,AAAA7937,WI_FLBD007,2005288,2006119,1610,940,Monze,2005,288,2006,119
28108,1,AAAA0001,AAAA7937,WI_FLBD007,2006288,2007119,963,796,Monze,2006,288,2007,119
28109,1,AAAA0001,AAAA7937,WI_FLBD007,2007288,2008119,1132,1031,Monze,2007,288,2008,119
28110,1,AAAA0001,AAAA7937,WI_FLBD007,2008288,2009119,0,678,Monze,2008,288,2009,119
28111,1,AAAA0001,AAAA7937,WI_FLBD007,2009288,2010119,0,907,Monze,2009,288,2010,119
28112,1,AAAA0001,AAAA7937,WI_FLBD007,2010288,2011119,0,697,Monze,2010,288,2011,119
28113,1,AAAA0001,AAAA7937,WI_FLBD007,2011288,2012119,0,570,Monze,2011,288,2012,119
28114,1,AAAA0001,AAAA7937,WI_FLBD007,2012288,2013119,0,702,Monze,2012,288,2013,119
28115,1,AAAA0001,AAAA7937,WI_FLBD007,2013288,2014119,675,675,Monze,2013,288,2014,119
28116,1,AAAA0001,AAAA7937,WI_FLBD007,2014288,2015119,0,656,Monze,2014,288,2015,119
28164,3,AAAA0001,AAAA7937,WI_FLBD007,1990288,1991119,2548,642,Monze,1990,288,1991,119
28165,3,AAAA0001,AAAA7937,WI_FLBD007,1991288,1992119,1440,478,Monze,1991,288,1992,119
28166,3,AAAA0001,AAAA7937,WI_FLBD007,1992288,1993119,1608,838,Monze,1992,288,1993,119
28167,3,AAAA0001,AAAA7937,WI_FLBD007,1993288,1994119,0,607,Monze,1993,288,1994,119
28168,3,AAAA0001,AAAA7937,WI_FLBD007,1994288,1995119,0,428,Monze,1994,288,1995,119
28169,3,AAAA0001,AAAA7937,WI_FLBD007,1995288,1996119,0,722,Monze,1995,288,1996,119
28170,3,AAAA0001,AAAA7937,WI_FLBD007,1996288,1997119,1516,1043,Monze,1996,288,1997,119
28171,3,AAAA0001,AAAA7937,WI_FLBD007,1997288,1998119,1468,598,Monze,1997,288,1998,119
28172,3,AAAA0001,AAAA7937,WI_FLBD007,1998288,1999119,1749,845,Monze,1998,288,1999,119
28173,3,AAAA0001,AAAA7937,WI_FLBD007,1999288,2000119,0,855,Monze,1999,288,2000,119
28174,3,AAAA0001,AAAA7937,WI_FLBD007,2000288,2001119,0,855,Monze,2000,288,2001,119
28175,3,AAAA0001,AAAA7937,WI_FLBD007,2001288,2002119,0,457,Monze,2001,288,2002,119
28176,3,AAAA0001,AAAA7937,WI_FLBD007,2002288,2003119,0,653,Monze,2002,288,2003,119
28177,3,AAAA0001,AAAA7937,WI_FLBD007,2003288,2004119,842,856,Monze,2003,288,2004,119
28178,3,AAAA0001,AAAA7937,WI_FLBD007,2004288,2005119,0,637,Monze,2004,288,2005,119
28179,3,AAAA0001,AAAA7937,WI_FLBD007,2005288,2006119,2291,940,Monze,2005,288,2006,119
28180,3,AAAA0001,AAAA7937,WI_FLBD007,2006288,2007119,1276,796,Monze,2006,288,2007,119
28181,3,AAAA0001,AAAA7937,WI_FLBD007,2007288,2008119,1766,1031,Monze,2007,288,2008,119
28182,3,AAAA0001,AAAA7937,WI_FLBD007,2008288,2009119,0,678,Monze,2008,288,2009,119
28183,3,AAAA0001,AAAA7937,WI_FLBD007,2009288,2010119,0,907,Monze,2009,288,2010,119
28184,3,AAAA0001,AAAA7937,WI_FLBD007,2010288,2011119,0,697,Monze,2010,288,2011,119
28185,3,AAAA0001,AAAA7937,WI_FLBD007,2011288,2012119,0,570,Monze,2011,288,2012,119
28186,3,AAAA0001,AAAA7937,WI_FLBD007,2012288,2013119,0,702,Monze,2012,288,2013,119
28187,3,AAAA0001,AAAA7937,WI_FLBD007,2013288,2014119,789,675,Monze,2013,288,2014,119
28188,3,AAAA0001,AAAA7937,WI_FLBD007,2014288,2015119,0,656,Monze,2014,288,2015,119
28236,1,AAAA0001,AAAA7937,WI_FRAO009,1990288,1991119,2811,642,Monze,1990,288,1991,119
28237,1,AAAA0001,AAAA7937,WI_FRAO009,1991288,1992119,1373,478,Monze,1991,288,1992,119
28238,1,AAAA0001,AAAA7937,WI_FRAO009,1992288,1993119,1796,838,Monze,1992,288,1993,119
28239,1,AAAA0001,AAAA7937,WI_FRAO009,1993288,1994119,0,607,Monze,1993,288,1994,119
28240,1,AAAA0001,AAAA7937,WI_FRAO009,1994288,1995119,0,428,Monze,1994,288,1995,119
28241,1,AAAA0001,AAAA7937,WI_FRAO009,1995288,1996119,0,722,Monze,1995,288,1996,119
28242,1,AAAA0001,AAAA7937,WI_FRAO009,1996288,1997119,1695,1043,Monze,1996,288,1997,119
28243,1,AAAA0001,AAAA7937,WI_FRAO009,1997288,1998119,1545,598,Monze,1997,288,1998,119
28244,1,AAAA0001,AAAA7937,WI_FRAO009,1998288,1999119,1484,845,Monze,1998,288,1999,119
28245,1,AAAA0001,AAAA7937,WI_FRAO009,1999288,2000119,0,855,Monze,1999,288,2000,119
28246,1,AAAA0001,AAAA7937,WI_FRAO009,2000288,2001119,0,855,Monze,2000,288,2001,119
28247,1,AAAA0001,AAAA7937,WI_FRAO009,2001288,2002119,0,457,Monze,2001,288,2002,119
28248,1,AAAA0001,AAAA7937,WI_FRAO009,2002288,2003119,350,653,Monze,2002,288,2003,119
28249,1,AAAA0001,AAAA7937,WI_FRAO009,2003288,2004119,534,856,Monze,2003,288,2004,119
28250,1,AAAA0001,AAAA7937,WI_FRAO009,2004288,2005119,0,637,Monze,2004,288,2005,119
28251,1,AAAA0001,AAAA7937,WI_FRAO009,2005288,2006119,3110,940,Monze,2005,288,2006,119
