RUNNO,TRNO,TNAM,WSTA....,SOIL_ID...,PDAT,HDAT,HWAH,PRCM,ETCM,Zones,Pyear,Pday,Hyear,Hday
48884,1,AAAA0001,AAAA7932,WI_VRZM080,2006302,2007119,1383,796,360,Monze,2006,302,2007,119
48885,1,AAAA0001,AAAA7932,WI_VRZM080,2007302,2008119,0,1031,379,Monze,2007,302,2008,119
48886,1,AAAA0001,AAAA7932,WI_VRZM080,2008302,2009119,0,678,387,Monze,2008,302,2009,119
48887,1,AAAA0001,AAAA7932,WI_VRZM080,2009302,2010119,1756,907,411,Monze,2009,302,2010,119
48946,3,AAAA0001,AAAA7932,WI_VRZM080,2006302,2007119,2122,796,357,Monze,2006,302,2007,119
48947,3,AAAA0001,AAAA7932,WI_VRZM080,2007302,2008119,0,1031,379,Monze,2007,302,2008,119
48948,3,AAAA0001,AAAA7932,WI_VRZM080,2008302,2009119,0,678,387,Monze,2008,302,2009,119
48949,3,AAAA0001,AAAA7932,WI_VRZM080,2009302,2010119,2691,907,413,Monze,2009,302,2010,119
71204,1,AAAA0001,AAAA7932,WI_VRZM080,2006316,2007119,1469,796,360,Monze,2006,316,2007,119
71205,1,AAAA0001,AAAA7932,WI_VRZM080,2007316,2008119,0,1031,381,Monze,2007,316,2008,119
71206,1,AAAA0001,AAAA7932,WI_VRZM080,2008316,2009119,2729,678,351,Monze,2008,316,2009,119
71207,1,AAAA0001,AAAA7932,WI_VRZM080,2009316,2010119,1492,907,409,Monze,2009,316,2010,119
71266,3,AAAA0001,AAAA7932,WI_VRZM080,2006316,2007119,2598,796,358,Monze,2006,316,2007,119
71267,3,AAAA0001,AAAA7932,WI_VRZM080,2007316,2008119,0,1031,381,Monze,2007,316,2008,119
71268,3,AAAA0001,AAAA7932,WI_VRZM080,2008316,2009119,4101,678,351,Monze,2008,316,2009,119
71269,3,AAAA0001,AAAA7932,WI_VRZM080,2009316,2010119,2270,907,411,Monze,2009,316,2010,119
91664,1,AAAA0001,AAAA7932,WI_VRZM080,2006330,2007119,2052,796,364,Monze,2006,330,2007,119
91665,1,AAAA0001,AAAA7932,WI_VRZM080,2007330,2008119,2855,1031,381,Monze,2007,330,2008,119
91666,1,AAAA0001,AAAA7932,WI_VRZM080,2008330,2009119,2086,678,352,Monze,2008,330,2009,119
91667,1,AAAA0001,AAAA7932,WI_VRZM080,2009330,2010119,2054,907,419,Monze,2009,330,2010,119
91726,3,AAAA0001,AAAA7932,WI_VRZM080,2006330,2007119,3304,796,365,Monze,2006,330,2007,119
91727,3,AAAA0001,AAAA7932,WI_VRZM080,2007330,2008119,4532,1031,368,Monze,2007,330,2008,119
91728,3,AAAA0001,AAAA7932,WI_VRZM080,2008330,2009119,4006,678,350,Monze,2008,330,2009,119
91729,3,AAAA0001,AAAA7932,WI_VRZM080,2009330,2010119,3848,907,419,Monze,2009,330,2010,119
110264,1,AAAA0001,AAAA7932,WI_VRZM080,2006344,2007119,2532,796,369,Monze,2006,344,2007,119
110265,1,AAAA0001,AAAA7932,WI_VRZM080,2007344,2008119,3200,1031,386,Monze,2007,344,2008,119
110266,1,AAAA0001,AAAA7932,WI_VRZM080,2008344,2009119,2287,678,360,Monze,2008,344,2009,119
110267,1,AAAA0001,AAAA7932,WI_VRZM080,2009344,2010119,2342,907,417,Monze,2009,344,2010,119
