HH_Labor	Ward	HH_CultVar	HH_PlantingDay	CultArea	HHSize	
2	17	3	330	1	2	
2	17	3	330	1	3	
2	17	3	344	1	2	
2	17	3	330	1	4	
5	17	3	344	1	7	
2	17	3	330	1	3	
4	17	3	330	1	6	
4	17	3	330	1	6	
4	17	3	330	1	6	
2	17	3	330	1	4	
5	17	3	330	1	9	
6	17	3	330	1	12	
6	17	3	330	1	11	
5	17	3	330	1	9	
2	17	3	344	1	2	
6	17	3	344	1	10	
1	17	3	344	1	1	
6	17	3	330	1	11	
5	17	3	330	1	7	
3	17	3	330	1	5	
5	17	3	344	1	7	
2	17	3	344	1	4	
2	17	3	330	1	4	
2	17	3	330	1	3	
4	17	3	344	1	6	
6	17	3	344	1	10	
5	17	3	344	1	8	
3	17	3	344	1	5	
6	17	3	344	1	11	
2	17	3	344	1	3	
5	17	3	330	1	7	
2	17	3	344	1	2	
6	17	3	330	1	10	
2	17	3	344	1	2	
4	17	3	344	1	6	
4	17	3	344	1	6	
3	17	3	344	1	5	
5	17	3	344	1	8	
5	17	3	344	1	8	
2	17	3	344	1	3	
6	17	3	344	1	10	
3	17	3	330	1	5	
3	17	3	330	1	5	
4	17	3	344	1	6	
3	17	3	330	1	5	
5	17	3	344	1	8	
2	17	3	330	1	4	
5	17	3	344	1	8	
3	17	3	330	1	5	
2	17	3	344	1	3	
2	17	3	344	1	3	
6	17	3	330	1	11	
3	17	3	344	1	5	
5	17	3	344	1	8	
5	17	3	330	1	7	
2	17	3	344	1	3	
5	17	3	330	1	8	
4	17	3	330	1	6	
2	17	3	344	1	4	
5	17	3	330	1	7	
2	17	3	344	1	2	
3	17	3	330	1	5	
2	17	3	330	1	4	
3	17	3	330	1	5	
4	17	3	330	1	6	
2	17	3	330	1	4	
4	17	3	330	1	6	
4	17	3	344	1	6	
2	17	3	330	1	2	
5	17	3	330	1	8	
5	17	3	344	1	9	
5	17	3	344	1	8	
5	17	3	330	1	9	
5	17	3	344	1	9	
3	17	3	330	1	5	
6	17	3	330	1	10	
5	17	3	344	1	9	
5	17	3	330	1	8	
2	17	3	330	1	2	
4	17	3	344	1	6	
3	17	3	344	1	5	
5	17	3	344	1	8	
5	17	3	330	1	7	
5	17	3	344	1	9	
5	17	3	330	1	9	
4	17	3	344	1	6	
2	17	3	344	1	3	
2	17	3	344	1	4	
5	17	3	330	1	8	
2	17	3	344	1	3	
2	17	3	330	1	3	
2	17	3	330	1	2	
4	17	3	330	1	6	
2	17	3	344	1	4	
4	17	3	344	1	6	
5	17	3	330	1	7	
3	17	3	344	1	5	
4	17	3	344	1	6	
6	17	3	344	1	10	
5	17	3	330	1	7	
6	17	3	344	1	10	
5	17	3	330	1	7	
5	17	3	344	1	8	
2	17	3	344	1	3	
4	17	3	330	1	6	
5	17	3	344	1	7	
2	17	3	330	1	3	
3	17	3	344	1	5	
2	17	3	344	1	4	
3	17	3	330	1	5	
2	17	3	344	1	4	
3	17	3	330	1	5	
3	17	3	330	1	5	
5	17	3	344	1	7	
5	17	3	330	1	7	
4	17	3	344	1	6	
5	17	3	344	1	9	
3	17	3	330	1	5	
5	17	3	344	1	7	
4	17	3	344	1	6	
3	17	3	344	1	5	
5	17	3	330	1	7	
4	17	3	344	1	6	
2	17	3	330	1	4	
7	17	3	330	1	13	
3	17	3	344	1	5	
5	17	3	330	1	8	
4	17	3	330	1	6	
5	17	3	330	1	8	
2	17	3	330	1	4	
6	17	3	344	1	10	
2	17	3	330	1	4	
4	17	3	344	1	6	
4	17	3	344	1	6	
4	17	3	330	1	6	
5	17	3	344	1	8	
2	17	3	344	1	4	
3	17	3	344	1	5	
4	17	3	344	1	6	
5	17	3	344	1	9	
4	17	3	330	1	6	
5	17	3	330	1	7	
5	17	3	344	1	7	
5	17	3	330	1	8	
3	17	3	344	1	5	
3	17	3	330	1	5	
2	17	3	330	1	3	
5	17	3	344	1	9	
2	17	3	344	1	4	
5	17	3	344	1	9	
5	17	3	344	1	7	
3	17	3	344	1	5	
5	17	3	344	1	7	
6	17	3	330	1	10	
3	17	3	330	1	5	
5	17	3	330	1	8	
5	17	3	344	1	7	
4	17	3	330	1	6	
3	17	3	330	1	5	
4	17	3	330	1	6	
4	17	3	330	1	6	
7	17	3	344	1	0	
4	17	3	330	1	6	
5	17	3	344	1	7	
3	17	3	344	1	5	
3	17	3	344	1	5	
6	17	3	330	1	12	
2	17	3	344	1	4	
2	17	3	344	1	3	
5	17	3	330	1	8	
5	17	3	330	1	7	
4	17	3	344	1	6	
3	17	3	344	1	5	
3	17	3	330	1	5	
2	17	3	330	1	3	
3	17	3	330	1	5	
2	17	3	330	1	3	
5	17	3	344	1	9	
5	17	3	330	1	7	
4	17	3	344	1	6	
4	17	3	330	1	6	
3	17	3	330	1	5	
5	17	3	330	1	9	
5	17	3	330	1	7	
2	17	3	330	1	3	
4	17	3	330	1	6	
2	17	3	330	1	3	
2	17	3	330	1	2	
4	17	3	330	1	6	
2	17	3	344	1	3	
5	17	3	330	1	7	
5	17	3	344	1	7	
5	17	3	344	1	7	
3	17	3	330	1	5	
2	17	3	330	1	2	
3	17	3	344	1	5	
6	17	3	344	1	10	
6	17	3	330	1	10	
4	17	3	344	1	6	
3	17	3	344	1	5	
3	17	3	330	1	5	
5	17	3	330	1	7	
5	17	3	330	1	8	
2	17	3	330	1	3	
5	17	3	330	1	8	
5	17	3	330	1	9	
5	17	3	330	1	7	
2	17	3	344	1	2	
2	17	3	344	1	4	
5	17	3	330	1	7	
5	17	3	344	1	8	
2	17	3	330	1	3	
4	17	3	344	1	6	
3	17	3	330	1	5	
5	17	3	330	1	7	
4	17	3	330	1	6	
5	17	3	330	1	8	
5	17	3	330	1	8	
5	17	3	330	1	9	
2	17	3	344	1	3	
2	17	3	344	1	4	
5	17	3	330	1	8	
2	17	3	330	1	4	
2	17	3	330	1	2	
2	17	3	330	1	4	
5	17	3	330	1	8	
5	17	3	330	1	7	
4	17	3	330	1	6	
2	17	3	344	1	4	
2	17	3	344	1	4	
2	17	3	344	1	3	
2	17	3	330	1	3	
6	17	3	344	1	11	
4	17	3	330	1	6	
3	17	3	330	1	5	
6	17	3	344	1	12	
5	17	3	344	1	7	
2	17	3	344	1	4	
3	17	3	344	1	5	
5	17	3	344	1	7	
2	17	3	330	1	4	
2	17	3	330	1	2	
4	17	3	344	1	6	
2	17	3	344	1	4	
5	17	3	344	1	7	
1	17	3	344	1	1	
5	17	3	344	1	8	
3	17	3	330	1	5	
3	17	3	330	1	5	
4	17	3	330	1	6	
2	17	3	330	1	4	
2	17	3	344	1	4	
3	17	3	330	1	5	
2	17	3	344	1	4	
4	17	3	344	1	6	
3	17	3	344	1	5	
4	17	3	344	1	6	
5	17	3	344	1	8	
5	17	3	330	1	8	
1	17	3	344	1	1	
3	17	3	330	1	5	
2	17	3	330	1	4	
2	17	3	344	1	2	
2	17	3	344	1	2	
2	17	3	344	1	4	
2	17	3	330	1	4	
5	17	3	330	1	8	
2	17	3	344	1	3	
3	17	3	344	1	5	
2	17	3	330	1	2	
2	17	3	344	1	3	
2	17	3	330	1	2	
5	17	3	344	1	7	
4	17	3	344	1	6	
2	17	3	330	1	2	
5	17	3	344	1	9	
2	17	3	344	1	3	
2	17	3	330	1	3	
4	17	3	344	1	6	
1	17	3	330	1	1	
4	17	3	344	1	6	
5	17	3	330	1	9	
5	17	3	344	1	9	
2	17	3	330	1	4	
5	17	3	330	1	7	
2	17	3	344	1	2	
3	17	3	344	1	5	
3	17	3	344	1	5	
5	17	3	344	1	8	
5	17	3	344	1	8	
6	17	3	344	1	10	
3	17	3	344	1	5	
2	17	3	330	1	3	
4	17	3	344	1	6	
5	17	3	344	1	8	
5	17	3	330	1	7	
5	17	3	344	1	7	
2	17	3	330	1	2	
2	17	3	344	1	4	
4	17	3	344	1	6	
6	17	3	330	1	11	
3	17	3	344	1	5	
5	17	3	344	1	8	
5	17	3	330	1	8	
3	17	3	344	1	5	
2	17	3	344	1	4	
5	17	3	344	1	8	
3	17	3	330	1	5	
2	17	3	330	1	4	
5	17	3	344	1	9	
5	17	3	330	1	8	
3	17	3	344	1	5	
3	17	3	344	1	5	
4	17	3	330	1	6	
5	17	3	330	1	8	
2	17	3	344	1	3	
3	17	3	344	1	5	
1	17	3	344	1	1	
3	17	3	344	1	5	
6	17	3	344	1	11	
5	17	3	344	1	9	
4	17	3	344	1	6	
2	17	3	330	1	3	
5	17	3	344	1	7	
5	17	3	330	1	8	
3	17	3	330	1	5	
6	17	3	330	1	10	
3	17	3	344	1	5	
1	17	3	344	1	1	
4	17	3	330	1	6	
2	17	3	330	1	4	
5	17	3	330	1	7	
5	17	3	330	1	7	
2	17	3	330	1	4	
4	17	3	344	1	6	
5	17	3	344	1	7	
4	17	3	344	1	6	
6	17	3	330	1	10	
5	17	3	330	1	7	
5	17	3	330	1	7	
3	17	3	330	1	5	
5	17	3	330	1	9	
4	17	3	344	1	6	
4	17	3	330	1	6	
2	17	3	330	1	4	
5	17	3	344	1	8	
2	17	3	330	1	4	
5	17	3	330	1	7	
3	17	3	330	1	5	
2	17	3	330	1	3	
5	17	3	344	1	9	
3	17	3	344	1	5	
3	17	3	330	1	5	
2	17	3	344	1	4	
5	17	3	344	1	8	
2	17	3	330	1	2	
4	17	3	344	1	6	
5	17	3	344	1	7	
1	17	3	330	1	1	
4	17	3	344	1	6	
4	17	3	344	1	6	
5	17	3	344	1	8	
2	17	3	344	1	4	
2	17	3	344	1	4	
3	17	3	344	1	5	
5	17	3	344	1	7	
5	17	3	330	1	7	
3	17	3	344	1	5	
3	17	3	330	1	5	
1	17	3	330	1	1	
5	17	3	330	1	7	
2	17	3	344	1	4	
4	17	3	344	1	6	
5	17	3	344	1	8	
2	17	3	330	1	4	
6	17	3	330	1	12	
